Station, Cruise 1, Cruise 2, Cruise 3, Cruise 4, Cruise 5, Cruise 6, Cruise 7, Cruise 8
Vargem Grande, 205, 59, 136, 92, 41, 44, 106, 70
Rio Ica, 4, 38, 3, 2, 16, 22, 5, 7 
Santo Antonio do Ica, 148, 57, 101, 70, 50, 58, 93, 64
Xibeco, 80, 58, 129, 79, 55, 88, 99, 57
Rio Jutai, 2, 2, 1, tr, tr, tr, tr, tr 
Tupe, 101, 30, 136, 82, 53, 63, 119, 44 
Rio Jurua, 14, 2, 3, 51, tr, 1, 20, 8
Rio Japura, nan, nan, nan, tr, 4, 11, 2, 3
Jutica, 87, 42, 122, 62, 43, 62, 71, 61 
Itapeua, 82, 37, 90, 63, 58, 32, 65, 48 
Anori, 64, 39, 105, 62, 51, 41, 76, 47 
Rio Purus, 14, 2, tr, 3, 2, tr, tr, 1 
Manacapuru, 59, 24, 66, 50, 45, 41, 58, 41 
Rio Negro, 0, tr, tr, 0, 0, tr, 0, tr 
Sao Jose do Amatari, nan, 33, 13, 14, 40, 12, 22, 51 
Rio Madeira, nan, 1, 58, 134, 8, 1, 120, tr 
Paura, nan, 20, 15, 29, 47, 9, 35, 44 
Obidos, nan, 43, 11, 29, 28, 5, 40, 47